date,temperature,rainfall,humidity,month
2008-12-01,21.8,0.6,22.0,12
2008-12-02,24.3,0.0,25.0,12
2008-12-03,23.2,0.0,30.0,12
2008-12-04,26.5,0.0,16.0,12
2008-12-05,29.7,1.0,33.0,12
2008-12-06,28.9,0.2,23.0,12
2008-12-07,24.6,0.0,19.0,12
2008-12-08,25.5,0.0,19.0,12
2008-12-09,30.2,0.0,9.0,12
2008-12-10,28.2,1.4,27.0,12
2008-12-11,28.8,0.0,22.0,12
2008-12-12,17.0,2.2,91.0,12
2008-12-13,15.8,15.6,93.0,12
2008-12-14,19.8,3.6,43.0,12
2008-12-15,23.5,0.0,32.0,12
2008-12-16,26.2,0.0,28.0,12
2008-12-17,18.1,0.0,82.0,12
2008-12-18,21.5,16.8,65.0,12
2008-12-19,21.0,10.6,32.0,12
2008-12-20,23.2,0.0,26.0,12
2008-12-21,27.3,0.0,28.0,12
2008-12-22,31.6,0.0,28.0,12
2008-12-23,30.8,0.0,24.0,12
2008-12-24,29.0,0.0,23.0,12
2008-12-25,31.2,0.0,17.0,12
2008-12-26,33.0,0.0,19.0,12
2008-12-27,31.2,0.0,28.0,12
2008-12-28,32.1,0.0,15.0,12
2008-12-29,26.1,0.0,22.0,12
2008-12-30,18.2,1.2,70.0,12
2008-12-31,22.7,0.8,28.0,12
2009-01-01,25.7,0.0,26.0,1
2009-01-02,22.1,0.0,22.0,1
2009-01-03,26.5,0.0,22.0,1
2009-01-04,33.9,0.0,12.0,1
2009-01-05,34.4,0.0,9.0,1
2009-01-06,36.8,0.0,8.0,1
2009-01-07,38.4,0.0,12.0,1
2009-01-08,27.6,0.0,15.0,1
2009-01-09,26.6,0.0,16.0,1
2009-01-10,29.3,0.0,24.0,1
2009-01-11,30.0,0.0,31.0,1
2009-01-12,33.2,0.0,16.0,1
2009-01-13,35.7,0.0,19.0,1
2009-01-14,41.5,0.0,8.0,1
2009-01-15,27.1,0.0,28.0,1
2009-01-16,25.5,0.0,20.0,1
2009-01-17,25.8,0.0,16.0,1
2009-01-18,30.5,0.0,17.0,1
2009-01-19,34.4,0.0,10.0,1
2009-01-20,37.7,0.0,21.0,1
2009-01-21,36.1,0.8,17.0,1
2009-01-22,33.1,0.6,39.0,1
2009-01-23,33.0,6.4,28.0,1
2009-01-24,29.7,0.0,21.0,1
2009-01-25,32.1,0.0,10.0,1
2009-01-26,36.5,0.0,12.0,1
2009-01-27,36.2,0.0,25.0,1
2009-01-28,39.2,0.0,15.0,1
2009-01-29,40.1,0.0,13.0,1
2009-01-30,41.2,0.0,11.0,1
2009-01-31,42.0,0.0,11.0,1
2009-02-01,41.9,0.0,9.0,2
2009-02-02,37.1,0.2,21.0,2
2009-02-03,36.2,0.0,21.0,2
2009-02-04,35.2,0.0,26.0,2
2009-02-05,39.7,0.0,15.0,2
2009-02-06,41.6,0.0,8.0,2
2009-02-07,43.4,0.0,11.0,2
2009-02-08,38.5,0.0,19.0,2
2009-02-09,29.4,0.4,31.0,2
2009-02-10,25.8,0.0,30.0,2
2009-02-11,24.9,0.0,24.0,2
2009-02-12,17.3,0.0,69.0,2
2009-02-13,27.6,3.0,21.0,2
2009-02-14,28.5,0.0,18.0,2
2009-02-15,29.2,0.0,23.0,2
2009-02-16,29.5,0.0,22.0,2
2009-02-17,27.0,0.0,17.0,2
2009-02-18,30.7,0.0,22.0,2
2009-02-19,32.7,0.0,16.0,2
2009-02-20,26.8,0.0,39.0,2
2009-02-21,29.8,0.0,19.0,2
2009-02-22,31.3,0.0,23.0,2
2009-02-23,33.4,0.0,10.0,2
2009-02-24,28.6,0.0,14.0,2
2009-02-25,29.3,0.0,16.0,2
2009-02-26,30.5,0.0,19.0,2
2009-02-27,30.8,0.0,25.0,2
2009-02-28,33.6,0.0,14.0,2
2009-03-01,28.1,0.0,27.0,3
2009-03-02,29.8,0.0,25.0,3
2009-03-03,29.2,0.0,35.0,3
2009-03-04,21.9,0.2,26.0,3
2009-03-05,21.4,0.0,33.0,3
2009-03-06,22.0,0.0,23.0,3
2009-03-07,27.0,0.0,22.0,3
2009-03-08,28.8,0.0,20.0,3
2009-03-09,30.5,0.0,28.0,3
2009-03-10,30.8,0.0,25.0,3
2009-03-11,29.6,1.2,23.0,3
2009-03-12,18.8,0.0,90.0,3
2009-03-13,23.8,5.8,68.0,3
2009-03-14,19.7,3.0,74.0,3
2009-03-15,18.3,11.6,41.0,3
2009-03-16,20.5,0.0,34.0,3
2009-03-17,23.9,0.0,34.0,3
2009-03-18,27.2,0.0,19.0,3
2009-03-19,29.3,0.0,15.0,3
2009-03-20,32.6,0.0,13.0,3
2009-03-21,33.5,0.0,17.0,3
2009-03-22,29.0,0.0,30.0,3
2009-03-23,31.4,0.0,25.0,3
2009-03-24,30.7,0.0,20.0,3
2009-03-25,19.6,0.4,78.0,3
2009-03-26,29.2,1.8,26.0,3
2009-03-27,26.8,0.0,30.0,3
2009-03-28,27.7,0.0,26.0,3
2009-03-29,29.9,0.0,18.0,3
2009-03-30,29.2,0.0,16.0,3
2009-03-31,28.6,0.0,25.0,3
2009-04-01,29.5,0.0,22.0,4
2009-04-02,30.9,0.0,30.0,4
2009-04-03,27.4,8.6,49.0,4
2009-04-04,20.3,12.6,33.0,4
2009-04-05,21.2,0.0,37.0,4
