timestamp,kwh,building_name
2024-01-01 00:00:00,58.65,Building B
2024-01-01 01:00:00,57.52,Building B
2024-01-01 02:00:00,61.97,Building B
2024-01-01 03:00:00,58.89,Building B
2024-01-01 04:00:00,62.81,Building B
2024-01-01 05:00:00,59.22,Building B
2024-01-01 06:00:00,75.89,Building B
2024-01-01 07:00:00,78.62,Building B
2024-01-01 08:00:00,92.31,Building B
2024-01-01 09:00:00,121.61,Building B
2024-01-01 10:00:00,112.08,Building B
2024-01-01 11:00:00,113.26,Building B
2024-01-01 12:00:00,141.5,Building B
2024-01-01 13:00:00,120.06,Building B
2024-01-01 14:00:00,115.38,Building B
2024-01-01 15:00:00,114.05,Building B
2024-01-01 16:00:00,108.95,Building B
2024-01-01 17:00:00,112.69,Building B
2024-01-01 18:00:00,84.62,Building B
2024-01-01 19:00:00,99.6,Building B
2024-01-01 20:00:00,84.3,Building B
2024-01-01 21:00:00,83.78,Building B
2024-01-01 22:00:00,58.44,Building B
2024-01-01 23:00:00,55.83,Building B
2024-01-02 00:00:00,58.31,Building B
2024-01-02 01:00:00,56.79,Building B
2024-01-02 02:00:00,62.31,Building B
2024-01-02 03:00:00,47.71,Building B
2024-01-02 04:00:00,56.83,Building B
2024-01-02 05:00:00,51.57,Building B
2024-01-02 06:00:00,74.89,Building B
2024-01-02 07:00:00,80.89,Building B
2024-01-02 08:00:00,84.14,Building B
2024-01-02 09:00:00,120.64,Building B
2024-01-02 10:00:00,123.22,Building B
2024-01-02 11:00:00,109.52,Building B
2024-01-02 12:00:00,112.89,Building B
2024-01-02 13:00:00,123.54,Building B
2024-01-02 14:00:00,115.83,Building B
2024-01-02 15:00:00,129.05,Building B
2024-01-02 16:00:00,123.2,Building B
2024-01-02 17:00:00,120.9,Building B
2024-01-02 18:00:00,85.69,Building B
2024-01-02 19:00:00,93.13,Building B
2024-01-02 20:00:00,85.53,Building B
2024-01-02 21:00:00,87.02,Building B
2024-01-02 22:00:00,62.64,Building B
2024-01-02 23:00:00,61.35,Building B
2024-01-03 00:00:00,46.22,Building B
2024-01-03 01:00:00,48.31,Building B
2024-01-03 02:00:00,50.46,Building B
2024-01-03 03:00:00,63.74,Building B
2024-01-03 04:00:00,55.58,Building B
2024-01-03 05:00:00,49.35,Building B
2024-01-03 06:00:00,86.97,Building B
2024-01-03 07:00:00,82.8,Building B
2024-01-03 08:00:00,81.32,Building B
2024-01-03 09:00:00,135.63,Building B
2024-01-03 10:00:00,111.94,Building B
2024-01-03 11:00:00,139.01,Building B
2024-01-03 12:00:00,132.69,Building B
2024-01-03 13:00:00,118.76,Building B
2024-01-03 14:00:00,112.23,Building B
2024-01-03 15:00:00,122.37,Building B
2024-01-03 16:00:00,130.79,Building B
2024-01-03 17:00:00,124.79,Building B
2024-01-03 18:00:00,83.17,Building B
