timestamp,kwh,building_name
2024-01-01 00:00:00,67.39,Building C
2024-01-01 01:00:00,57.09,Building C
2024-01-01 02:00:00,63.72,Building C
2024-01-01 03:00:00,67.07,Building C
2024-01-01 04:00:00,54.14,Building C
2024-01-01 05:00:00,65.98,Building C
2024-01-01 06:00:00,91.75,Building C
2024-01-01 07:00:00,93.28,Building C
2024-01-01 08:00:00,87.84,Building C
2024-01-01 09:00:00,118.34,Building C
2024-01-01 10:00:00,149.03,Building C
2024-01-01 11:00:00,125.53,Building C
2024-01-01 12:00:00,132.97,Building C
2024-01-01 13:00:00,126.48,Building C
2024-01-01 14:00:00,134.65,Building C
2024-01-01 15:00:00,140.59,Building C
2024-01-01 16:00:00,144.44,Building C
2024-01-01 17:00:00,133.46,Building C
2024-01-01 18:00:00,102.32,Building C
2024-01-01 19:00:00,98.21,Building C
2024-01-01 20:00:00,109.2,Building C
2024-01-01 21:00:00,94.93,Building C
2024-01-01 22:00:00,70.39,Building C
2024-01-01 23:00:00,72.82,Building C
2024-01-02 00:00:00,52.06,Building C
2024-01-02 01:00:00,50.75,Building C
2024-01-02 02:00:00,50.96,Building C
2024-01-02 03:00:00,50.46,Building C
2024-01-02 04:00:00,51.68,Building C
2024-01-02 05:00:00,49.81,Building C
2024-01-02 06:00:00,90.22,Building C
2024-01-02 07:00:00,95.37,Building C
2024-01-02 08:00:00,81.9,Building C
2024-01-02 09:00:00,124.11,Building C
2024-01-02 10:00:00,139.95,Building C
2024-01-02 11:00:00,132.28,Building C
2024-01-02 12:00:00,149.23,Building C
2024-01-02 13:00:00,127.12,Building C
2024-01-02 14:00:00,134.95,Building C
2024-01-02 15:00:00,123.24,Building C
2024-01-02 16:00:00,141.5,Building C
2024-01-02 17:00:00,136.35,Building C
2024-01-02 18:00:00,112.69,Building C
2024-01-02 19:00:00,109.64,Building C
2024-01-02 20:00:00,111.48,Building C
2024-01-02 21:00:00,103.47,Building C
2024-01-02 22:00:00,67.87,Building C
2024-01-02 23:00:00,69.59,Building C
2024-01-03 00:00:00,57.48,Building C
2024-01-03 01:00:00,72.48,Building C
2024-01-03 02:00:00,63.81,Building C
2024-01-03 03:00:00,66.54,Building C
2024-01-03 04:00:00,60.17,Building C
2024-01-03 05:00:00,55.86,Building C
2024-01-03 06:00:00,85.13,Building C
2024-01-03 07:00:00,82.73,Building C
2024-01-03 08:00:00,89.86,Building C
2024-01-03 09:00:00,145.55,Building C
2024-01-03 10:00:00,134.27,Building C
2024-01-03 11:00:00,153.1,Building C
2024-01-03 12:00:00,129.4,Building C
2024-01-03 13:00:00,123.75,Building C
2024-01-03 14:00:00,116.5,Building C
2024-01-03 15:00:00,155.64,Building C
2024-01-03 16:00:00,129.65,Building C
2024-01-03 17:00:00,135.61,Building C
2024-01-03 18:00:00,104.87,Building C
2024-01-03 19:00:00,109.14,Building C
2024-01-03 20:00:00,105.4,Building C
2024-01-03 21:00:00,109.26,Building C
2024-01-03 22:00:00,71.34,Building C
2024-01-03 23:00:00,77.57,Building C
2024-01-04 00:00:00,66.83,Building C
2024-01-04 01:00:00,70.23,Building C
2024-01-04 02:00:00,64.24,Building C
2024-01-04 03:00:00,61.21,Building C
2024-01-04 04:00:00,65.66,Building C
2024-01-04 05:00:00,52.17,Building C
2024-01-04 06:00:00,86.04,Building C
2024-01-04 07:00:00,95.84,Building C
2024-01-04 08:00:00,92.81,Building C
2024-01-04 09:00:00,138.18,Building C
2024-01-04 10:00:00,121.0,Building C
2024-01-04 11:00:00,142.54,Building C
2024-01-04 12:00:00,145.46,Building C
2024-01-04 13:00:00,140.3,Building C
2024-01-04 14:00:00,147.53,Building C
2024-01-04 15:00:00,119.64,Building C
2024-01-04 16:00:00,144.86,Building C
2024-01-04 17:00:00,142.88,Building C
2024-01-04 18:00:00,105.5,Building C
2024-01-04 19:00:00,92.42,Building C
2024-01-04 20:00:00,100.56,Building C
2024-01-04 21:00:00,98.22,Building C
2024-01-04 22:00:00,61.78,Building C
2024-01-04 23:00:00,66.3,Building C
2024-01-05 00:00:00,59.32,Building C
2024-01-05 01:00:00,64.23,Building C
2024-01-05 02:00:00,70.53,Building C
2024-01-05 03:00:00,51.92,Building C
2024-01-05 04:00:00,64.03,Building C
2024-01-05 05:00:00,61.93,Building C
2024-01-05 06:00:00,85.71,Building C
2024-01-05 07:00:00,79.16,Building C
2024-01-05 08:00:00,85.97,Building C
2024-01-05 09:00:00,121.7,Building C
2024-01-05 10:00:00,142.14,Building C
2024-01-05 11:00:00,137.59,Building C
2024-01-05 12:00:00,146.7,Building C
2024-01-05 13:00:00,122.01,Building C
2024-01-05 14:00:00,126.05,Building C
2024-01-05 15:00:00,123.17,Building C
2024-01-05 16:00:00,139.73,Building C
2024-01-05 17:00:00,143.21,Building C
2024-01-05 18:00:00,87.08,Building C
2024-01-05 19:00:00,101.14,Building C
2024-01-05 20:00:00,108.6,Building C
2024-01-05 21:00:00,105.7,Building C
2024-01-05 22:00:00,76.18,Building C
2024-01-05 23:00:00,64.63,Building C
2024-01-06 00:00:00,35.37,Building C
2024-01-06 01:00:00,30.21,Building C
2024-01-06 02:00:00,37.46,Building C
2024-01-06 03:00:00,29.72,Building C
2024-01-06 04:00:00,40.56,Building C
